gene_symbol,gene_title,logFC,P.Value,adj.P.Val
USP22,ubiquitin specific peptidase 22,1.12942524546984,0.00012906184213676985,0.8650998688947181
GNAQ,G protein subunit alpha q,0.28936075803429184,0.0001683530059333634,0.8650998688947181
SERINC3,serine incorporator 3,0.724078141893873,0.00024043271850132997,0.8650998688947181
PPP1R9A,protein phosphatase 1 regulatory subunit 9A,0.37427135323910965,0.00024051873179057733,0.8650998688947181
PDE5A,phosphodiesterase 5A,-0.8886566967165198,0.00035717473750131775,0.8650998688947181
TMEM248,transmembrane protein 248,-0.31428918029940317,0.00038857436975400496,0.8650998688947181
NONO,"non-POU domain containing, octamer-binding",-0.40603512666311986,0.00040454186395536234,0.8650998688947181
ACOX1,acyl-CoA oxidase 1,0.3547775932880314,0.000795236972527741,0.8650998688947181
PRPS1,phosphoribosyl pyrophosphate synthetase 1,-0.5699268007419207,0.0008365064210705499,0.8650998688947181
IL13RA1,interleukin 13 receptor subunit alpha 1,-0.37399790806338035,0.0013172940367378368,0.8650998688947181
KDM5A,lysine demethylase 5A,0.7001164044330199,0.0013290368815994818,0.8650998688947181
GLB1L,galactosidase beta 1 like,0.6889614181357262,0.0014158684721287773,0.8650998688947181
SYNC,"syncoilin, intermediate filament protein",0.5812740193493264,0.0015531334080814603,0.8650998688947181
RPS28,ribosomal protein S28,-0.9326646506128792,0.0015923475203514935,0.8650998688947181
VEZF1,vascular endothelial zinc finger 1,0.4663102642732156,0.0016037071885755705,0.8650998688947181
ENO1,enolase 1,-0.4159984744068047,0.0016356585859151692,0.8650998688947181
PHACTR2,phosphatase and actin regulator 2,0.3980027550174089,0.0016481923626929865,0.8650998688947181
RING1,ring finger protein 1,-0.31724758622269283,0.0017266708374816945,0.8650998688947181
PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,-0.2838668974550201,0.0018472194261124036,0.8650998688947181
DOCK9,dedicator of cytokinesis 9,-1.1776606502219173,0.0018482439846281642,0.8650998688947181
CLDN16,claudin 16,-0.78735189740998,0.0019052371270825163,0.8650998688947181
RBM28,RNA binding motif protein 28,-0.3544387351545275,0.00193402134287736,0.8650998688947181
PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,0.5023228786084526,0.001954855329602566,0.8650998688947181
TMBIM4,transmembrane BAX inhibitor motif containing 4,0.39708465953388666,0.0019616506639174624,0.8650998688947181
PEX1,peroxisomal biogenesis factor 1,1.0972457436108651,0.0020057694351706306,0.8650998688947181
SCRN1,secernin 1,0.5671406374547607,0.002176383511913468,0.8650998688947181
TOB2,"transducer of ERBB2, 2",1.028837764044028,0.0021794780476796136,0.8650998688947181
WNK1,WNK lysine deficient protein kinase 1,0.46299470033211854,0.0022525639826578452,0.8650998688947181
RGS17,regulator of G-protein signaling 17,-0.6337734632558569,0.002307363075584792,0.8650998688947181
DNAJB14,DnaJ heat shock protein family (Hsp40) member B14,0.8033772804373505,0.002332747146855032,0.8650998688947181
PCSK5,proprotein convertase subtilisin/kexin type 5,0.3166118473575825,0.0023447241701845855,0.8650998688947181
POLA1,"DNA polymerase alpha 1, catalytic subunit",-0.23803689146021245,0.002390549099059917,0.8650998688947181
SLC5A3,solute carrier family 5 member 3,0.4991714958419147,0.002739640097750922,0.8650998688947181
ATP2C2,ATPase secretory pathway Ca2+ transporting 2,-0.6494652714859684,0.002819606098192132,0.8650998688947181
NR1D2,nuclear receptor subfamily 1 group D member 2,0.562341256188073,0.002841451220925793,0.8650998688947181
POLDIP3,DNA polymerase delta interacting protein 3,-0.4734972298268423,0.002918214594260871,0.8650998688947181
EXT2,exostosin glycosyltransferase 2,0.21134263751903035,0.002988680510408677,0.8650998688947181
SCAI,suppressor of cancer cell invasion,1.1383281565479737,0.0030525152155018837,0.8650998688947181
SSPN,sarcospan,0.5953184188925038,0.003065043477776847,0.8650998688947181
MED17,mediator complex subunit 17,-0.40259835384406556,0.0031279679207762263,0.8650998688947181
PON2,paraoxonase 2,0.5058295749315718,0.003266183848098491,0.8650998688947181
MED13L,mediator complex subunit 13 like,0.4943860504585049,0.003291627155181462,0.8650998688947181
LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated",0.4264092394886395,0.003389390623531517,0.8650998688947181
RABEP1,"rabaptin, RAB GTPase binding effector protein 1",-0.4942162336981557,0.0034663739778031423,0.8650998688947181
SAMD14,sterile alpha motif domain containing 14,-0.6736914193154876,0.00355404471054625,0.8650998688947181
EEA1,early endosome antigen 1,0.6290879408245108,0.0036148919401566707,0.8650998688947181
AASS,aminoadipate-semialdehyde synthase,0.6116888095862673,0.00371336267973246,0.8650998688947181
GTPBP6,GTP binding protein 6 (putative),0.2575623254608153,0.00393092282491691,0.8650998688947181
FEZ2,fasciculation and elongation protein zeta 2,0.5086413441986887,0.003943684877459643,0.8650998688947181
SLC25A16,solute carrier family 25 member 16,0.6884201359020115,0.003963487143037558,0.8650998688947181
CHRDL1,chordin like 1,0.3748089695337329,0.004100723304397139,0.8650998688947181
RUFY2,RUN and FYVE domain containing 2,-0.5616845590732182,0.004106485715261073,0.8650998688947181
KIAA0391///PSMA6,KIAA0391///proteasome subunit alpha 6,0.2546969742040774,0.0041088795630343615,0.8650998688947181
MPZL1,myelin protein zero like 1,-0.4780331144292981,0.004153687546731075,0.8650998688947181
UCHL1,ubiquitin C-terminal hydrolase L1,0.5059448167396315,0.004169548993986113,0.8650998688947181
LOC101930405,uncharacterized LOC101930405,-1.197677616740123,0.0042853887365111734,0.8650998688947181
LEPROT,leptin receptor overlapping transcript,0.40440659082608965,0.004333233786940991,0.8650998688947181
NUS1///NUS1P3,NUS1 dehydrodolichyl diphosphate synthase subunit///NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3,-0.623874824709514,0.004335698246193273,0.8650998688947181
SLC7A6,solute carrier family 7 member 6,-0.4580599477969761,0.004368535575643382,0.8650998688947181
EIF4G2,eukaryotic translation initiation factor 4 gamma 2,-0.9587598355291185,0.0043876952292606075,0.8650998688947181
TPR,"translocated promoter region, nuclear basket protein",0.3649278132468343,0.004504879886322948,0.8650998688947181
NUP214,nucleoporin 214,-0.6169864870097548,0.004514260675049524,0.8650998688947181
TST,thiosulfate sulfurtransferase,0.6473098460842995,0.004692426350337551,0.8650998688947181
SPATA5L1,spermatogenesis associated 5 like 1,-0.6631245234795035,0.004712209794635925,0.8650998688947181
SNRPA1,small nuclear ribonucleoprotein polypeptide A',-0.3466874329381784,0.004745517493429826,0.8650998688947181
FAM63A,family with sequence similarity 63 member A,0.4932151305445097,0.0048116242656830056,0.8650998688947181
TRIM33,tripartite motif containing 33,0.32604872507119,0.004903829428858644,0.8650998688947181
TTK,TTK protein kinase,0.711161505639907,0.004938400172582807,0.8650998688947181
RNF126P1,ring finger protein 126 pseudogene 1,-0.6209881714508823,0.004949067041207463,0.8650998688947181
ME1,malic enzyme 1,0.5131400372032647,0.005042642097839428,0.8650998688947181
GSTM2,glutathione S-transferase mu 2 (muscle),0.4826699574956802,0.005058270547593419,0.8650998688947181
LOC102725271///NTM,neurotrimin-like///neurotrimin,1.0391965754033199,0.005151759195359224,0.8650998688947181
NAGA,alpha-N-acetylgalactosaminidase,0.3941148566505801,0.005215469439519632,0.8650998688947181
MAPK1IP1L///FCF1,mitogen-activated protein kinase 1 interacting protein 1 like///FCF1 rRNA-processing protein,0.5587882649521153,0.005335881445801646,0.8650998688947181
SLC35D1,solute carrier family 35 member D1,-0.5662352926522511,0.005448243618736004,0.8650998688947181
CBFB,core-binding factor beta subunit,-0.5150390518295426,0.00560192132127162,0.8650998688947181
ERAP1,endoplasmic reticulum aminopeptidase 1,1.0837689721703085,0.005619498014888081,0.8650998688947181
PKN2,protein kinase N2,0.8177617371188364,0.005666252320942206,0.8650998688947181
TLK1,tousled like kinase 1,0.35162975015481795,0.005689869825948124,0.8650998688947181
CFLAR,CASP8 and FADD like apoptosis regulator,-0.5035900843729585,0.005722807689870677,0.8650998688947181
CELF2,"CUGBP, Elav-like family member 2",0.35033679246574007,0.005778676350436349,0.8650998688947181
ANKLE2,ankyrin repeat and LEM domain containing 2,-0.3372812353097501,0.006051932791219068,0.8650998688947181
MALT1,MALT1 paracaspase,-0.8193101020157395,0.006121159398327814,0.8650998688947181
