Pathway,NES,FDR_q_val,Gene
Inflammatory Response,-1.8076766658981551,0.01,PSEN1
Inflammatory Response,-1.8076766658981551,0.01,SLC11A2
Inflammatory Response,-1.8076766658981551,0.01,MET
Inflammatory Response,-1.8076766658981551,0.01,CSF1
Inflammatory Response,-1.8076766658981551,0.01,CXCL9
Inflammatory Response,-1.8076766658981551,0.01,BEST1
Inflammatory Response,-1.8076766658981551,0.01,ADORA2B
Inflammatory Response,-1.8076766658981551,0.01,CD40
Inflammatory Response,-1.8076766658981551,0.01,ATP2A2
Inflammatory Response,-1.8076766658981551,0.01,SLC7A2
Inflammatory Response,-1.8076766658981551,0.01,ACVR1B
Inflammatory Response,-1.8076766658981551,0.01,MMP14
Inflammatory Response,-1.8076766658981551,0.01,PCDH7
Inflammatory Response,-1.8076766658981551,0.01,CCL24
Inflammatory Response,-1.8076766658981551,0.01,ITGB3
Inflammatory Response,-1.8076766658981551,0.01,LIF
Inflammatory Response,-1.8076766658981551,0.01,OSMR
Inflammatory Response,-1.8076766658981551,0.01,EDN1
Inflammatory Response,-1.8076766658981551,0.01,GNAI3
Inflammatory Response,-1.8076766658981551,0.01,ADGRE1
Inflammatory Response,-1.8076766658981551,0.01,GNA15
Inflammatory Response,-1.8076766658981551,0.01,IL1R1
Inflammatory Response,-1.8076766658981551,0.01,PVR
Inflammatory Response,-1.8076766658981551,0.01,INHBA
Inflammatory Response,-1.8076766658981551,0.01,SLAMF1
Inflammatory Response,-1.8076766658981551,0.01,HRH1
Inflammatory Response,-1.8076766658981551,0.01,BDKRB1
Inflammatory Response,-1.8076766658981551,0.01,SPHK1
Inflammatory Response,-1.8076766658981551,0.01,ICOSLG
Inflammatory Response,-1.8076766658981551,0.01,NOD2
Inflammatory Response,-1.8076766658981551,0.01,TNFAIP6
Inflammatory Response,-1.8076766658981551,0.01,ITGB8
Inflammatory Response,-1.8076766658981551,0.01,SLC7A1
Inflammatory Response,-1.8076766658981551,0.01,LPAR1
Inflammatory Response,-1.8076766658981551,0.01,CCL2
Inflammatory Response,-1.8076766658981551,0.01,CXCL10
Inflammatory Response,-1.8076766658981551,0.01,HBEGF
Inflammatory Response,-1.8076766658981551,0.01,MEP1A
Inflammatory Response,-1.8076766658981551,0.01,ICAM1
Inflammatory Response,-1.8076766658981551,0.01,PTGER4
Inflammatory Response,-1.8076766658981551,0.01,CCL7
Inflammatory Response,-1.8076766658981551,0.01,CHST2
Inflammatory Response,-1.8076766658981551,0.01,RIPK2
Inflammatory Response,-1.8076766658981551,0.01,TACR1
Inflammatory Response,-1.8076766658981551,0.01,GCH1
Inflammatory Response,-1.8076766658981551,0.01,NFKB1
Inflammatory Response,-1.8076766658981551,0.01,PDPN
Inflammatory Response,-1.8076766658981551,0.01,FZD5
Inflammatory Response,-1.8076766658981551,0.01,OLR1
Inflammatory Response,-1.8076766658981551,0.01,KCNA3
Inflammatory Response,-1.8076766658981551,0.01,LDLR
Inflammatory Response,-1.8076766658981551,0.01,PLAUR
Inflammatory Response,-1.8076766658981551,0.01,IL4R
Inflammatory Response,-1.8076766658981551,0.01,PDE4B
Inflammatory Response,-1.8076766658981551,0.01,CD14
Inflammatory Response,-1.8076766658981551,0.01,IL1B
Inflammatory Response,-1.8076766658981551,0.01,TNFRSF9
Inflammatory Response,-1.8076766658981551,0.01,OSM
Inflammatory Response,-1.8076766658981551,0.01,HAS2
Inflammatory Response,-1.8076766658981551,0.01,SELE
Inflammatory Response,-1.8076766658981551,0.01,TLR2
Inflammatory Response,-1.8076766658981551,0.01,CXCL6
Inflammatory Response,-1.8076766658981551,0.01,ADM
Inflammatory Response,-1.8076766658981551,0.01,IL12B
Inflammatory Response,-1.8076766658981551,0.01,SLC31A1
Inflammatory Response,-1.8076766658981551,0.01,SERPINE1
Inflammatory Response,-1.8076766658981551,0.01,P2RY2
Inflammatory Response,-1.8076766658981551,0.01,SLC1A2
Inflammatory Response,-1.8076766658981551,0.01,NLRP3
Inflammatory Response,-1.8076766658981551,0.01,CALCRL
Inflammatory Response,-1.8076766658981551,0.01,RELA
Inflammatory Response,-1.8076766658981551,0.01,CCR7
Inflammatory Response,-1.8076766658981551,0.01,LTA
Inflammatory Response,-1.8076766658981551,0.01,CXCL8
Inflammatory Response,-1.8076766658981551,0.01,ACVR2A
Inflammatory Response,-1.8076766658981551,0.01,EREG
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ACTA2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,NOTCH2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MATN3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CD44
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COPA
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CADM1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PTHLH
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LRRC15
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CD59
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CDH6
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DST
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CDH2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TPM4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SDC1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FBN2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TNC
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MMP14
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,OXTR
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,VCAN
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LAMC2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,EDIL3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DKK1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TPM1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,WIPF1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ITGB3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PDLIM4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,THBS1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ADAM12
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,RGS4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TGM2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,IGFBP3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PVR
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,VCAM1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,THBS2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CALU
