Pathway,NES,FDR_q_val,Gene
Adipogenesis,2.169627323829136,0.01,ACOX1
Adipogenesis,2.169627323829136,0.01,SSPN
Adipogenesis,2.169627323829136,0.01,TST
Adipogenesis,2.169627323829136,0.01,ME1
Adipogenesis,2.169627323829136,0.01,ESYT1
Adipogenesis,2.169627323829136,0.01,SCARB1
Adipogenesis,2.169627323829136,0.01,RREB1
Adipogenesis,2.169627323829136,0.01,SCP2
Adipogenesis,2.169627323829136,0.01,RTN3
Adipogenesis,2.169627323829136,0.01,UQCR10
Adipogenesis,2.169627323829136,0.01,TOB1
Adipogenesis,2.169627323829136,0.01,CD36
Adipogenesis,2.169627323829136,0.01,CD151
Adipogenesis,2.169627323829136,0.01,UQCRQ
Adipogenesis,2.169627323829136,0.01,LEP
Adipogenesis,2.169627323829136,0.01,ITIH5
Adipogenesis,2.169627323829136,0.01,CMPK1
Adipogenesis,2.169627323829136,0.01,NDUFAB1
Adipogenesis,2.169627323829136,0.01,TANK
Adipogenesis,2.169627323829136,0.01,SULT1A1
Adipogenesis,2.169627323829136,0.01,ANGPT1
Adipogenesis,2.169627323829136,0.01,REEP5
Adipogenesis,2.169627323829136,0.01,PRDX3
Adipogenesis,2.169627323829136,0.01,MCCC1
Adipogenesis,2.169627323829136,0.01,PPARG
Adipogenesis,2.169627323829136,0.01,ITSN1
Adipogenesis,2.169627323829136,0.01,CRAT
Adipogenesis,2.169627323829136,0.01,NMT1
Adipogenesis,2.169627323829136,0.01,SLC25A1
Adipogenesis,2.169627323829136,0.01,PTGER3
Adipogenesis,2.169627323829136,0.01,LIFR
Adipogenesis,2.169627323829136,0.01,COX7B
Adipogenesis,2.169627323829136,0.01,PPM1B
Adipogenesis,2.169627323829136,0.01,ABCA1
Adipogenesis,2.169627323829136,0.01,DLD
Adipogenesis,2.169627323829136,0.01,LPCAT3
Adipogenesis,2.169627323829136,0.01,DHRS7B
Adipogenesis,2.169627323829136,0.01,HIBCH
Adipogenesis,2.169627323829136,0.01,GHITM
Adipogenesis,2.169627323829136,0.01,RETSAT
Adipogenesis,2.169627323829136,0.01,SORBS1
Adipogenesis,2.169627323829136,0.01,FAH
Adipogenesis,2.169627323829136,0.01,SOD1
Adipogenesis,2.169627323829136,0.01,COQ9
Adipogenesis,2.169627323829136,0.01,GPX4
Adipogenesis,2.169627323829136,0.01,CAT
Adipogenesis,2.169627323829136,0.01,PEX14
Adipogenesis,2.169627323829136,0.01,SAMM50
Adipogenesis,2.169627323829136,0.01,ALDH2
Adipogenesis,2.169627323829136,0.01,OMD
Adipogenesis,2.169627323829136,0.01,IDH1
Adipogenesis,2.169627323829136,0.01,FZD4
Adipogenesis,2.169627323829136,0.01,LPL
Adipogenesis,2.169627323829136,0.01,BCL2L13
Adipogenesis,2.169627323829136,0.01,CPT2
Adipogenesis,2.169627323829136,0.01,MAP4K3
Adipogenesis,2.169627323829136,0.01,UQCR11
Adipogenesis,2.169627323829136,0.01,COL15A1
Adipogenesis,2.169627323829136,0.01,TKT
Adipogenesis,2.169627323829136,0.01,PFKL
Adipogenesis,2.169627323829136,0.01,MDH2
Adipogenesis,2.169627323829136,0.01,ETFB
Adipogenesis,2.169627323829136,0.01,IFNGR1
Adipogenesis,2.169627323829136,0.01,RMDN3
Oxidative Phosphorylation,1.9611817918996528,0.01,COX7A2L
Oxidative Phosphorylation,1.9611817918996528,0.01,UQCR10
Oxidative Phosphorylation,1.9611817918996528,0.01,PDP1
Oxidative Phosphorylation,1.9611817918996528,0.01,MDH1
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP6V0E1
Oxidative Phosphorylation,1.9611817918996528,0.01,UQCRQ
Oxidative Phosphorylation,1.9611817918996528,0.01,SLC25A11
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFAB1
Oxidative Phosphorylation,1.9611817918996528,0.01,SURF1
Oxidative Phosphorylation,1.9611817918996528,0.01,UQCRB
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP6V1H
Oxidative Phosphorylation,1.9611817918996528,0.01,CYB5R3
Oxidative Phosphorylation,1.9611817918996528,0.01,VDAC3
Oxidative Phosphorylation,1.9611817918996528,0.01,PRDX3
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP6V1E1
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP6V1C1
Oxidative Phosphorylation,1.9611817918996528,0.01,LDHB
Oxidative Phosphorylation,1.9611817918996528,0.01,OXA1L
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP6V1D
Oxidative Phosphorylation,1.9611817918996528,0.01,RHOT1
Oxidative Phosphorylation,1.9611817918996528,0.01,CPT1A
Oxidative Phosphorylation,1.9611817918996528,0.01,ISCA1
Oxidative Phosphorylation,1.9611817918996528,0.01,SDHA
Oxidative Phosphorylation,1.9611817918996528,0.01,ISCU
Oxidative Phosphorylation,1.9611817918996528,0.01,SLC25A20
Oxidative Phosphorylation,1.9611817918996528,0.01,ACAA1
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFS6
Oxidative Phosphorylation,1.9611817918996528,0.01,COX7B
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFB3
Oxidative Phosphorylation,1.9611817918996528,0.01,DLD
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP1B1
Oxidative Phosphorylation,1.9611817918996528,0.01,COX10
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFB1
Oxidative Phosphorylation,1.9611817918996528,0.01,MPC1
Oxidative Phosphorylation,1.9611817918996528,0.01,MRPS15
Oxidative Phosphorylation,1.9611817918996528,0.01,RETSAT
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFS1
Oxidative Phosphorylation,1.9611817918996528,0.01,MRPL34
Oxidative Phosphorylation,1.9611817918996528,0.01,TOMM70
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFB6
Oxidative Phosphorylation,1.9611817918996528,0.01,COX6B1
Oxidative Phosphorylation,1.9611817918996528,0.01,LRPPRC
Oxidative Phosphorylation,1.9611817918996528,0.01,GPX4
Oxidative Phosphorylation,1.9611817918996528,0.01,ALDH6A1
Oxidative Phosphorylation,1.9611817918996528,0.01,COX4I1
Oxidative Phosphorylation,1.9611817918996528,0.01,IDH1
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFA6
Oxidative Phosphorylation,1.9611817918996528,0.01,HCCS
Oxidative Phosphorylation,1.9611817918996528,0.01,COX5B
Oxidative Phosphorylation,1.9611817918996528,0.01,GPI
Oxidative Phosphorylation,1.9611817918996528,0.01,HSD17B10
Oxidative Phosphorylation,1.9611817918996528,0.01,COX7A2
Oxidative Phosphorylation,1.9611817918996528,0.01,UQCR11
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFB2
Oxidative Phosphorylation,1.9611817918996528,0.01,ATP6V0C
Oxidative Phosphorylation,1.9611817918996528,0.01,SLC25A12
Oxidative Phosphorylation,1.9611817918996528,0.01,ACAT1
Oxidative Phosphorylation,1.9611817918996528,0.01,ETFA
Oxidative Phosphorylation,1.9611817918996528,0.01,TCIRG1
Oxidative Phosphorylation,1.9611817918996528,0.01,COX7C
Oxidative Phosphorylation,1.9611817918996528,0.01,COX11
Oxidative Phosphorylation,1.9611817918996528,0.01,MDH2
Oxidative Phosphorylation,1.9611817918996528,0.01,ETFB
Oxidative Phosphorylation,1.9611817918996528,0.01,SUCLA2
Oxidative Phosphorylation,1.9611817918996528,0.01,PDHX
Oxidative Phosphorylation,1.9611817918996528,0.01,TIMM10
Oxidative Phosphorylation,1.9611817918996528,0.01,PDHB
Oxidative Phosphorylation,1.9611817918996528,0.01,ETFDH
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFS3
Oxidative Phosphorylation,1.9611817918996528,0.01,VDAC2
Oxidative Phosphorylation,1.9611817918996528,0.01,MTX2
Oxidative Phosphorylation,1.9611817918996528,0.01,OPA1
Oxidative Phosphorylation,1.9611817918996528,0.01,SDHC
Oxidative Phosphorylation,1.9611817918996528,0.01,IDH3G
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFB8
Oxidative Phosphorylation,1.9611817918996528,0.01,UQCRFS1
Oxidative Phosphorylation,1.9611817918996528,0.01,MGST3
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFC1
Oxidative Phosphorylation,1.9611817918996528,0.01,COX6A1
Oxidative Phosphorylation,1.9611817918996528,0.01,PDHA1
Oxidative Phosphorylation,1.9611817918996528,0.01,ACO2
Oxidative Phosphorylation,1.9611817918996528,0.01,ECH1
Oxidative Phosphorylation,1.9611817918996528,0.01,NDUFA7
Oxidative Phosphorylation,1.9611817918996528,0.01,NNT
Oxidative Phosphorylation,1.9611817918996528,0.01,HADHB
Oxidative Phosphorylation,1.9611817918996528,0.01,OGDH
Oxidative Phosphorylation,1.9611817918996528,0.01,COX15
Oxidative Phosphorylation,1.9611817918996528,0.01,ACADSB
