sample,Module_1,Module_2,Module_3,title,source_name,characteristics_text,group
GSM114834,0.0,20.31577079036739,11.72135595967437,EP1_adipose_pcos_rep1,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114840,0.0,19.942390696310614,10.142796540074029,EP1_adipose_pcos_rep2,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114841,0.7915729205259908,41.69867671718759,0.0,EP3_adipose_control,Omental adipose tissue,Morbidly obese control subject,Control
GSM114842,0.0,15.40155671183897,14.162610753204042,EP10_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114843,7.7924894008069,13.871571527354325,3.794824209937699,EP18_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114844,0.6301775638383174,13.800215557532589,12.748623424807382,EP23_adipose_control,Omental adipose tissue,Morbidly obese control subject,Control
GSM114845,9.933092688542876,14.122071796627313,0.0,EP31_adipose_control_rep1,Omental adipose tissue,Morbidly obese control subject,Control
GSM114846,10.507611774813853,14.115175576525385,1.1184171942539496,EP31_adipose_control_rep2,Omental adipose tissue,Morbidly obese control subject,Control
GSM114847,9.539746214734448,0.0,9.234222270399009,EP32_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114848,0.0,14.802604653410722,12.082463490918805,EP34_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114849,0.11400163359402514,18.468063205466365,10.879263246510037,EP37_adipose_control,Omental adipose tissue,Total RNA was extracted from omental adipose tissue from a control subject,Control
GSM114850,5.115194660727015,10.74884638600333,8.378331762907862,EP47_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114851,2.807511329885242,14.212211887787948,10.493928431460965,EP49_adipose_control,Omental adipose tissue,Morbidly obese control subject,Control
GSM114852,0.1471727001793338,14.974004569193898,12.820026177196484,EP55_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114853,2.272111866520407,4.948594375228169,14.338257115102788,EP66_adipose_pcos,Omental adipose tissue,Morbidly obese PCOS patient,PCOS
GSM114854,2.8818997521115435,3.594440461758221,13.97333635524962,EP69_adipose_control,Omental adipose tissue,Morbidly obese control subject,Control
GSM114855,9.167358686108651,5.442906218276511,6.424374668226575,EP71_adipose_control,Omental adipose tissue,Morbidly obese control subject ,Control
