gene_symbol,gene_title,logFC,P.Value,adj.P.Val
MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,0.018552082331406088,0.855515073097847,0.9759126974257549
RFC2,replication factor C subunit 2,0.15226657532705143,0.24936153436039446,0.8650998688947181
HSPA6,heat shock protein family A (Hsp70) member 6,0.2016499570181067,0.35670213984124344,0.8650998688947181
PAX8,paired box 8,0.07324821690593451,0.6565569831778895,0.9279336845768714
GUCA1A,guanylate cyclase activator 1A,-0.2810606716770193,0.5172002396104058,0.8894684203333366
MIR5193///UBA7,microRNA 5193///ubiquitin like modifier activating enzyme 7,0.00400781623791292,0.9806405092768212,0.9968494433144546
THRA,"thyroid hormone receptor, alpha",-0.040773454228069175,0.7561532313189381,0.9509804284718092
PTPN21,"protein tyrosine phosphatase, non-receptor type 21",0.18415674893385459,0.4022549343506344,0.8695040143984362
CCL5,C-C motif chemokine ligand 5,0.2484745206059558,0.5242963097640516,0.8926958489106263
CYP2E1,cytochrome P450 family 2 subfamily E member 1,-0.4768765238063132,0.12737854920155348,0.8650998688947181
EPHB3,EPH receptor B3,0.1862412720958872,0.5908886302433605,0.910003225857502
ESRRA,estrogen related receptor alpha,-0.1825316115233287,0.23404829622801424,0.8650998688947181
CYP2A6,cytochrome P450 family 2 subfamily A member 6,-0.3126390720883045,0.11806915848426582,0.8650998688947181
GAS6,growth arrest specific 6,-0.05020224526857098,0.6788741861704789,0.9330093763697507
MMP14,matrix metallopeptidase 14,-0.03138779565345076,0.8722772062903894,0.9794787578424176
TRADD,TNFRSF1A associated via death domain,0.16138306488255255,0.35323560813304733,0.8650998688947181
CHURC1-FNTB///FNTB,"CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta",-0.14898349266928732,0.32791018091568624,0.8650998688947181
PLD1,phospholipase D1,-0.15486246941270967,0.5474468469328981,0.8996925020871528
DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene",0.2639745138069138,0.31061999384604794,0.8650998688947181
BAD,BCL2 associated agonist of cell death,0.03687711036425322,0.7890757753481777,0.9578098697779059
PRPF8,pre-mRNA processing factor 8,-0.05729846908355777,0.5679076195747383,0.9023470270392968
CAPNS1,calpain small subunit 1,0.22662243502879237,0.04272000487312508,0.8650998688947181
RPL35,ribosomal protein L35,0.03127656428638055,0.7857209336511196,0.9562645461357651
MIR6805///RPL28,microRNA 6805///ribosomal protein L28,-0.05073556699622246,0.76412432869742,0.9524558468558275
EIF4G2,eukaryotic translation initiation factor 4 gamma 2,0.09711454519667641,0.11781890291072222,0.8650998688947181
EIF3D,eukaryotic translation initiation factor 3 subunit D,0.017416273010587856,0.9151336200439901,0.9863520666683951
PARK7,Parkinsonism associated deglycase,0.18301447830055234,0.07425743273971301,0.8650998688947181
SRP14,signal recognition particle 14,-0.03310906197334631,0.7352835872418495,0.9446081633449666
GDI2,GDP dissociation inhibitor 2,-0.08642239359410687,0.558479459956346,0.9018331810927377
GDI2,GDP dissociation inhibitor 2,0.01250152816672186,0.9218316256186136,0.9870869169098981
RPL11,ribosomal protein L11,0.0191506072312346,0.8236791122242686,0.9670060338249727
ARF3,ADP ribosylation factor 3,-0.015288941816937988,0.9166845597713335,0.9864630747154975
RPL21P28///SNORA27///SNORD102///RPL21,"ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21",0.012186333937377603,0.8692836812276574,0.9785096302399845
RPL24,ribosomal protein L24,-0.052797077079339554,0.7473938346577569,0.9482412641500699
HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),-0.025211168491819307,0.8567457474694598,0.9760038953020232
SEPT2,septin 2,0.1475992962024429,0.20488770481804652,0.8650998688947181
HNRNPA1P10///HNRNPA1,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1,-0.0987371180650484,0.31134034313423,0.8650998688947181
RPS27A,ribosomal protein S27a,-0.023620126492224953,0.8617517636462312,0.9771646826612884
LOC100508408///SNORD14B///RPS13,"uncharacterized LOC100508408///small nucleolar RNA, C/D box 14B///ribosomal protein S13",0.11187357768671283,0.22561301904990047,0.8650998688947181
FAU,"FAU, ubiquitin like and ribosomal protein S30 fusion",-0.02713092224920743,0.83351104141941,0.9701138577471001
TARDBP,TAR DNA binding protein,0.02331274715057798,0.8257175514586256,0.9678945628991724
CFL1,cofilin 1,-0.12159248630361395,0.3775888037171423,0.8656118637783757
RPL18,ribosomal protein L18,-0.008663254850990008,0.9618276234307717,0.9933237110587879
EIF3F,eukaryotic translation initiation factor 3 subunit F,-0.030070325119063213,0.8091760791456625,0.9625726439846073
RPS5,ribosomal protein S5,-0.060565180201011634,0.6716452300932014,0.9317172761822868
RPL27,ribosomal protein L27,-0.019854748252812162,0.7632857910097888,0.9524548603707645
RPL34,ribosomal protein L34,0.026587259906672944,0.8672251695825353,0.9775871123521997
NARS,asparaginyl-tRNA synthetase,0.2252964229451108,0.047941467150463546,0.8650998688947181
STARD7,StAR related lipid transfer domain containing 7,0.178205606999835,0.2773123648402291,0.8650998688947181
RPL19,ribosomal protein L19,-0.07357514748899739,0.43913441530268915,0.8766510872382539
SLC25A3,solute carrier family 25 member 3,-0.025994638857307965,0.7701094311425931,0.9530538886804787
SNORD35B///RPS11,"small nucleolar RNA, C/D box 35B///ribosomal protein S11",-0.10486741970948674,0.3580417237621256,0.8650998688947181
RPL9,ribosomal protein L9,-0.025190250874688007,0.7015874545673083,0.9382393158919011
MIR5047///MIR3064///DDX5,microRNA 5047///microRNA 3064///DEAD-box helicase 5,-0.09738885776450472,0.45218210381221413,0.8787480639549854
RPL6,ribosomal protein L6,-0.07884149494466501,0.49543582075979964,0.8858232566758767
CTDNEP1,CTD nuclear envelope phosphatase 1,-0.07040626699566525,0.6442084410799558,0.9241794113709599
RPL10A,ribosomal protein L10a,-0.13299966575855854,0.4099049387365571,0.8695040143984362
CBX3,chromobox 3,0.04645388568904069,0.7361836388818946,0.9448937993422877
RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17,"RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17",-0.0779633246391117,0.5020509117525097,0.8867825433658126
PSMB2,proteasome subunit beta 2,0.03553373741669829,0.6894537149893631,0.9355450448537597
KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",0.11990299026902332,0.27009417803298175,0.8650998688947181
ATP6V1G2-DDX39B///SNORD84///DDX39B,"ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B",-0.02163410557343149,0.8339510516230321,0.970359061056917
RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase",-0.0020852677229599302,0.9900824506763957,0.9984923235313966
ERH,enhancer of rudimentary homolog (Drosophila),0.12738793968125434,0.24621470883185997,0.8650998688947181
GATC///SRSF9,glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9,-0.026219104949010932,0.7719229509371993,0.9535835021735867
ABCF1,ATP binding cassette subfamily F member 1,-0.21234943479950455,0.2166596012352889,0.8650998688947181
DAD1,defender against cell death 1,0.08787897144412773,0.41221148582831024,0.8695040143984362
YY1,YY1 transcription factor,0.030311428919127026,0.7852836811841052,0.9562645461357651
JTB,jumping translocation breakpoint,0.03410972812744232,0.7520083265004561,0.9495609616775186
KAT7,lysine acetyltransferase 7,0.09258685627461276,0.5136943351796006,0.8884220078621254
ZNF146,zinc finger protein 146,0.07633740323978958,0.52432589424104,0.8926958489106263
SART1,squamous cell carcinoma antigen recognized by T-cells 1,0.0435966124842483,0.6582757670122018,0.9282355683043172
ILF2,interleukin enhancer binding factor 2,-0.2077924012547805,0.13582416840416234,0.8650998688947181
SPAG7,sperm associated antigen 7,-0.12611820328735093,0.2134039532840024,0.8650998688947181
ZPR1,ZPR1 zinc finger,-0.25075942800693013,0.19785987609676994,0.8650998688947181
TAF10,TATA-box binding protein associated factor 10,0.19951769794466087,0.20567693907586582,0.8650998688947181
C1D,C1D nuclear receptor corepressor,0.2971403523828476,0.07048912630274053,0.8650998688947181
NONO,"non-POU domain containing, octamer-binding",-0.006763459555537704,0.9417978336204795,0.9896084362011598
LOC101929240///SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200,-0.06202361148493697,0.6108331797503959,0.9128450488989713
RHOA,ras homolog family member A,0.014289626442207987,0.8922183388986431,0.9820817488008458
RNPS1,RNA binding protein with serine rich domain 1,-0.1230815514966144,0.36648932953710767,0.8650998688947181
RPS24,ribosomal protein S24,0.0031378018367261688,0.9673954633945021,0.9937860056950666
RPL30,ribosomal protein L30,0.06738177398625288,0.4586830794680571,0.8807792915811246
NPM1,nucleophosmin,0.02415241312292187,0.7143720047775002,0.9393292111076
HSP90AB1,heat shock protein 90 alpha family class B member 1,-0.07542406832400941,0.45241874459656495,0.8788330695698217
MIR3620///ARF1,microRNA 3620///ADP ribosylation factor 1,-0.15674329260932132,0.14374882562940264,0.8650998688947181
IK,"IK cytokine, down-regulator of HLA II",0.04058417691091499,0.750572254623735,0.9491276889481661
SNX3,sorting nexin 3,0.17985366203634806,0.2144867027612869,0.8650998688947181
CANX,calnexin,0.011658055903781226,0.9231623445027008,0.9870869169098981
SART3,squamous cell carcinoma antigen recognized by T-cells 3,-0.12632690845107006,0.3658415299070058,0.8650998688947181
CNPPD1,cyclin Pas1/PHO80 domain containing 1,0.20003901156504444,0.24727527638437888,0.8650998688947181
SMNDC1,survival motor neuron domain containing 1,0.16019783806859306,0.1323268104143343,0.8650998688947181
HNRNPM,heterogeneous nuclear ribonucleoprotein M,-0.2868124887265409,0.15889509218114145,0.8650998688947181
HNRNPD,heterogeneous nuclear ribonucleoprotein D,-0.1522462851431659,0.2236346926864411,0.8650998688947181
RPL14,ribosomal protein L14,-0.03880696617480414,0.7780744164022216,0.9541229699467355
GUK1,guanylate kinase 1,0.04420434462124812,0.7566934341838327,0.9511473446007899
KXD1,KxDL motif containing 1,-0.005949266331186367,0.9539133290681476,0.9925414729572483
OAZ1,ornithine decarboxylase antizyme 1,-0.007949924277451122,0.8873879080011482,0.9819237310527702
ATP6V0B,ATPase H+ transporting V0 subunit b,0.020750470864375592,0.8572099889901779,0.9760769052607364
KARS,lysyl-tRNA synthetase,-0.054118713611969634,0.6050299526219898,0.912815932103187
H3F3AP4///H3F3B///H3F3A,"H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A",0.056762639309085094,0.7380071052230477,0.9451503105395014
RPS6,ribosomal protein S6,-0.059483321217780556,0.6709094146698587,0.9317151029739323
RPS7,ribosomal protein S7,0.004137057068937237,0.9709379267690118,0.994584940624859
USP22,ubiquitin specific peptidase 22,0.03661851384200677,0.7169011072132332,0.9400398503671241
C11orf58,chromosome 11 open reading frame 58,0.11517905679218983,0.3610543124114086,0.8650998688947181
TCEB2,transcription elongation factor B subunit 2,0.13699977647887002,0.48985271066382075,0.8849222053457255
COX4I1,cytochrome c oxidase subunit 4I1,0.18728593115431547,0.25317587188315205,0.8650998688947181
TMED2,transmembrane p24 trafficking protein 2,0.10946846468729556,0.24879770472151885,0.8650998688947181
NBEAL1///RPL12,neurobeachin like 1///ribosomal protein L12,0.02858510201482071,0.8387039392794808,0.971755134074775
SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4,"small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4",0.003876157121354345,0.979534204143473,0.996651588693975
FNTA,"farnesyltransferase, CAAX box, alpha",0.21630461382173094,0.1258246357105767,0.8650998688947181
RPS25,ribosomal protein S25,0.010599326561141539,0.9373290374903431,0.9891513736164007
RPL37,ribosomal protein L37,0.00989192591309951,0.9234989460987444,0.987153067331172
HINT1,histidine triad nucleotide binding protein 1,0.1272899220898813,0.3273770891164627,0.8650998688947181
EEF2,eukaryotic translation elongation factor 2,-0.022286883453881728,0.8574281280566889,0.9760987285635595
RPS10,ribosomal protein S10,0.03769998653928899,0.7499565264020263,0.9491276889481661
ATP6V0E1,ATPase H+ transporting V0 subunit e1,0.1549937076722009,0.20479787182542433,0.8650998688947181
HNRNPK,heterogeneous nuclear ribonucleoprotein K,0.004660233775609713,0.9487568514723776,0.9914299869446677
ANAPC5,anaphase promoting complex subunit 5,0.0797864125026455,0.5382073573207413,0.8979938783157525
SNORD73A///RPS3A,"small nucleolar RNA, C/D box 73A///ribosomal protein S3A",0.006056091321118734,0.9574143908482546,0.9926109710059745
HNRNPU,heterogeneous nuclear ribonucleoprotein U,-0.29166948847780033,0.08544347694982521,0.8650998688947181
HNRNPU,heterogeneous nuclear ribonucleoprotein U,-0.049537483284199865,0.2989572520078109,0.8650998688947181
EIF3A,eukaryotic translation initiation factor 3 subunit A,0.12755995753526853,0.28565334004508397,0.8650998688947181
EIF3A,eukaryotic translation initiation factor 3 subunit A,0.057996411684550206,0.7855239227937274,0.9562645461357651
EIF3A,eukaryotic translation initiation factor 3 subunit A,-0.012125923155839019,0.9185653736254918,0.986508640855868
MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1,-0.13156635569255495,0.49539102611561536,0.8858232566758767
MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1,0.1238238108107204,0.41079453760497,0.8695040143984362
MSN,moesin,0.09711121137873187,0.2709987693720567,0.8650998688947181
ACTN4,actinin alpha 4,0.10519081574650116,0.6099290943376472,0.9128450488989713
APP,amyloid beta precursor protein,-0.07267949160597194,0.6064712560799669,0.912815932103187
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,0.04514436849751937,0.6325518542862978,0.9194277557874374
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,-0.420751801723883,0.036514413017087306,0.8650998688947181
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,0.10130201622234884,0.325747623941529,0.8650998688947181
DSP,desmoplakin,-0.09838133899509047,0.6741818179322259,0.9320754434311493
RAD21,RAD21 cohesin complex component,0.025585762767471952,0.8468025247485628,0.9742107922712275
