probe_id,GSM114834,GSM114840,GSM114841,GSM114842,GSM114843,GSM114844,GSM114845,GSM114846,GSM114847,GSM114848,GSM114849,GSM114850,GSM114851,GSM114852,GSM114853,GSM114854,GSM114855,gene_symbol,gene_title
1007_s_at,197.1,217.8,222.6,254.4,296.5,252.7,219.3,215.9,171.1,268.9,258.9,251.2,239.0,301.9,234.3,286.0,230.1,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1
1053_at,26.9,34.9,35.5,31.4,27.1,24.5,23.4,25.2,25.9,40.5,31.4,22.2,20.6,24.6,31.3,26.1,24.3,RFC2,replication factor C subunit 2
117_at,46.9,64.2,41.5,61.7,93.7,53.3,31.3,82.3,68.5,79.6,43.0,40.0,65.5,43.2,53.4,39.6,68.5,HSPA6,heat shock protein family A (Hsp70) member 6
121_at,221.1,238.7,229.8,291.5,399.8,419.6,274.5,296.5,307.1,364.8,227.1,326.1,271.6,387.2,400.9,428.7,333.4,PAX8,paired box 8
1255_g_at,2.4,8.9,14.3,13.9,24.7,13.0,29.6,6.3,3.8,14.3,16.3,1.9,4.6,12.0,11.5,10.7,7.8,GUCA1A,guanylate cyclase activator 1A
1294_at,96.6,87.1,150.8,100.9,111.4,116.0,89.9,71.3,81.3,142.6,125.1,82.9,89.2,107.1,100.3,79.5,85.0,MIR5193///UBA7,microRNA 5193///ubiquitin like modifier activating enzyme 7
1316_at,34.7,35.7,29.7,26.2,47.7,35.4,53.0,39.0,39.7,51.9,42.0,46.3,44.1,46.0,40.0,51.2,42.5,THRA,"thyroid hormone receptor, alpha"
1320_at,34.5,36.4,35.1,36.4,47.3,44.8,28.8,35.7,31.6,49.0,39.7,15.4,30.9,33.8,31.0,17.8,13.0,PTPN21,"protein tyrosine phosphatase, non-receptor type 21"
1405_i_at,108.8,111.3,47.8,55.9,81.7,53.2,41.7,63.9,34.8,31.9,116.9,41.8,43.3,50.7,32.6,20.0,23.1,CCL5,C-C motif chemokine ligand 5
1431_at,7.5,11.2,22.5,12.5,21.3,24.9,38.7,14.3,7.3,23.8,14.9,18.4,19.6,16.2,10.3,15.7,11.5,CYP2E1,cytochrome P450 family 2 subfamily E member 1
1438_at,21.6,26.0,52.3,17.3,41.3,27.3,18.3,11.3,29.3,35.8,15.0,7.3,38.3,35.0,34.3,19.6,10.6,EPHB3,EPH receptor B3
1487_at,62.9,66.0,91.6,66.4,107.8,113.4,121.8,76.2,72.9,107.6,85.8,78.3,71.8,77.1,115.4,103.8,97.7,ESRRA,estrogen related receptor alpha
1494_f_at,47.3,55.5,73.4,57.1,116.5,111.8,135.3,90.9,73.0,103.4,77.3,67.4,64.9,68.8,82.9,93.4,96.7,CYP2A6,cytochrome P450 family 2 subfamily A member 6
1598_g_at,602.9,674.8,680.2,691.0,805.1,827.8,755.4,611.0,567.8,917.0,875.1,661.2,886.4,909.3,724.3,552.0,843.9,GAS6,growth arrest specific 6
160020_at,73.8,99.9,182.9,140.8,174.9,206.9,123.0,105.2,149.1,203.9,126.7,159.5,101.6,174.3,169.1,182.8,193.2,MMP14,matrix metallopeptidase 14
1729_at,83.0,135.6,86.6,106.9,119.9,98.9,82.3,66.5,111.0,108.1,56.2,76.5,143.4,89.8,116.9,115.0,103.5,TRADD,TNFRSF1A associated via death domain
1773_at,44.7,50.2,50.9,34.9,48.4,66.9,48.5,33.3,47.4,42.3,45.8,27.2,55.2,41.5,43.0,38.0,36.4,CHURC1-FNTB///FNTB,"CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta"
177_at,40.1,38.4,45.9,47.2,36.9,44.5,36.7,25.1,21.5,35.4,53.8,25.9,54.1,28.5,25.2,28.3,8.5,PLD1,phospholipase D1
179_at,491.3,606.4,223.4,347.3,743.1,630.1,559.9,533.0,278.7,452.0,540.5,653.2,219.4,975.7,524.5,500.8,546.3,DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene"
1861_at,59.6,55.8,58.6,58.8,64.8,61.8,40.5,39.6,56.3,51.7,55.9,32.5,59.9,38.8,46.7,40.8,45.6,BAD,BCL2 associated agonist of cell death
200000_s_at,228.6,244.5,272.0,287.8,274.8,290.2,200.6,241.8,247.8,271.2,330.3,280.6,339.0,288.5,256.1,290.6,237.0,PRPF8,pre-mRNA processing factor 8
200001_at,975.8,1142.3,629.4,844.1,848.4,1021.4,739.2,805.2,1073.3,948.2,957.5,950.7,807.5,1155.4,1172.5,926.7,1033.1,CAPNS1,calpain small subunit 1
200002_at,1990.9,1748.8,1712.8,1987.6,1470.7,1527.3,1465.7,1522.4,1134.0,1409.7,1635.8,1433.4,1803.1,1558.6,1288.5,1296.0,1233.6,RPL35,ribosomal protein L35
200003_s_at,2566.8,2304.3,3004.1,2366.7,2050.0,1986.8,1957.7,2055.2,1498.6,1779.3,2166.8,1561.2,2095.5,1840.0,1447.6,1480.9,1286.9,MIR6805///RPL28,microRNA 6805///ribosomal protein L28
