probe_id,GSM114834,GSM114840,GSM114841,GSM114842,GSM114843,GSM114844,GSM114845,GSM114846,GSM114847,GSM114848,GSM114849,GSM114850,GSM114851,GSM114852,GSM114853,GSM114854,GSM114855
1007_s_at,197.1,217.8,222.6,254.4,296.5,252.7,219.3,215.9,171.1,268.9,258.9,251.2,239.0,301.9,234.3,286.0,230.1
1053_at,26.9,34.9,35.5,31.4,27.1,24.5,23.4,25.2,25.9,40.5,31.4,22.2,20.6,24.6,31.3,26.1,24.3
117_at,46.9,64.2,41.5,61.7,93.7,53.3,31.3,82.3,68.5,79.6,43.0,40.0,65.5,43.2,53.4,39.6,68.5
121_at,221.1,238.7,229.8,291.5,399.8,419.6,274.5,296.5,307.1,364.8,227.1,326.1,271.6,387.2,400.9,428.7,333.4
1255_g_at,2.4,8.9,14.3,13.9,24.7,13.0,29.6,6.3,3.8,14.3,16.3,1.9,4.6,12.0,11.5,10.7,7.8
1294_at,96.6,87.1,150.8,100.9,111.4,116.0,89.9,71.3,81.3,142.6,125.1,82.9,89.2,107.1,100.3,79.5,85.0
1316_at,34.7,35.7,29.7,26.2,47.7,35.4,53.0,39.0,39.7,51.9,42.0,46.3,44.1,46.0,40.0,51.2,42.5
1320_at,34.5,36.4,35.1,36.4,47.3,44.8,28.8,35.7,31.6,49.0,39.7,15.4,30.9,33.8,31.0,17.8,13.0
1405_i_at,108.8,111.3,47.8,55.9,81.7,53.2,41.7,63.9,34.8,31.9,116.9,41.8,43.3,50.7,32.6,20.0,23.1
1431_at,7.5,11.2,22.5,12.5,21.3,24.9,38.7,14.3,7.3,23.8,14.9,18.4,19.6,16.2,10.3,15.7,11.5
1438_at,21.6,26.0,52.3,17.3,41.3,27.3,18.3,11.3,29.3,35.8,15.0,7.3,38.3,35.0,34.3,19.6,10.6
1487_at,62.9,66.0,91.6,66.4,107.8,113.4,121.8,76.2,72.9,107.6,85.8,78.3,71.8,77.1,115.4,103.8,97.7
