Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ChEA_2016,BACH1 22875853 ChIP-PCR HELA AND SCP4 Human,45/1352,3.904788229119015e-07,0.000246001658434498,0,0,2.4834150951888025,36.64500518371132,PHTF2;VAC14;POM121;LTK;STEAP4;EDA;CSF1;SDC2;GRIK1;KLK2;NR2E1;CLDN1;CDH6;ADAM28;SPATA5L1;KIAA1644;TNFRSF8;CD59;TGM4;WNT2;TNPO2;TNS1;IL13RA1;DACT1;OR1D2;HSPA5;DST;MCF2;NRG1;SYNJ2;PAICS;QKI;ACTA2;PARP11;SULT1B1;GJB3;INCENP;CNTN1;SAG;TLL2;CYP2E1;MATN3;CD44;FGFR2;FGFR1
ChEA_2016,NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse,24/588,9.936100125790167e-06,0.0027597782625874,0,0,2.950354609929078,33.98612594037365,DDX18;SREBF1;CSF1;CBFB;STAT1;POLDIP3;PTPRJ;SLC3A2;PTPN11;CFLAR;ETS1;EGFR;MALT1;MTOR;HSPD1;IKBKB;SKI;LMAN1;CSRP2;GGA3;CDH2;CDK1;HNRNPA1;MET
ChEA_2016,KDM5B 21448134 ChIP-Seq MESCs Mouse,86/3724,1.314180125041662e-05,0.0027597782625874,0,0,1.774277743239841,19.942371680975537,RBM28;PHTF2;DIDO1;ANKLE2;DDX3X;WDR1;FASTKD2;DOCK9;PITPNA;STMN2;NR2E1;BZW1;CRKL;MED17;CSRP2;ARIH2;UTP14A;TNPO2;NUP214;DDX18;CDV3;OSR2;TIPIN;DST;TPM3;TEX10;SLC7A6;ILF3;RABEP1;PRKAR1A;INCENP;ADORA2B;RUFY2;YME1L1;ANAPC5;SNRPA1;PAFAH1B1;GLYR1;TMEM87A;VAC14;COPA;LTK;CBFB;HPGD;GOSR2;HMGCR;NAPG;EGFR;HSPD1;LMAN1;SPAST;GGA3;PDCD11;HLX;ADAM23;UBR5;MTA2;MPZL1;HNRNPA3;HSPA5;CSNK1A1;FUS;API5;GALNT2;NONO;ERLIN1;HUWE1;DONSON;CFLAR;PTPN12;LARP4;PAICS;USH2A;MTOR;POLA1;SQLE;MFAP4;MCM3AP;RAD51;CENPI;CDK1;TSR1;EIF4G2;ATG2B;FGFR1;PICALM
ChEA_2016,RELA 24523406 ChIP-Seq FIBROSARCOMA Human,33/1182,0.0004457497453661079,0.0586576776078707,0,0,1.9954919275188,15.396722571742687,APP;ANKLE2;CLIC4;CXCL9;CSF1;SRRT;SLC3A2;ENO1;PSEN1;EGFR;PTHLH;IKBKB;CSRP2;IGKC;ADORA1;CD59;PDLIM7;TRAPPC3;STAT1;SLC11A2;SIAH1;NRG1;CFLAR;PTPN12;AGT;QKI;SULT2B1;RPS28;CHI3L1;CYP2E1;CLDN16;CFB;CD44
ChEA_2016,SMAD2 18955504 ChIP-ChIP HaCaT Human,47/1936,0.0006517519734207864,0.0586576776078707,0,0,1.7515949422180002,12.849431586483066,NOTCH2;APP;TMEM87A;MTMR1;DIDO1;HSP90AB1;SLC35D1;FHL2;SLC3A2;PSEN1;CLDN1;ETS1;EGFR;MALT1;PTHLH;C15ORF39;SPATA5L1;CD59;MYH11;MPZL1;NADK;DACT1;MAGI1;SREBF1;CDV3;SVIL;TRAPPC3;RING1;HSPA5;DST;TPM3;CFLAR;QKI;SYTL2;GIP;SLC7A6;RABEP1;NPC1;YME1L1;WDFY3;CYP2E1;SERINC2;MET;CD44;EIF4G2;PAFAH1B1;PICALM
ChEA_2016,SMAD 19615063 ChIP-ChIP OVARY Human,8/124,0.0005714766405288534,0.0586576776078707,0,0,4.625413320736892,34.53928852612097,RGS17;KLF12;SPATA5L1;ADORA2B;CSNK1A1;CFLAR;PTHLH;SYTL2
ChEA_2016,SMAD3 18955504 ChIP-ChIP HaCaT Human,47/1936,0.0006517519734207864,0.0586576776078707,0,0,1.7515949422180002,12.849431586483066,NOTCH2;APP;TMEM87A;MTMR1;DIDO1;HSP90AB1;SLC35D1;FHL2;SLC3A2;PSEN1;CLDN1;ETS1;EGFR;MALT1;PTHLH;C15ORF39;SPATA5L1;CD59;MYH11;MPZL1;NADK;DACT1;MAGI1;SREBF1;CDV3;SVIL;TRAPPC3;RING1;HSPA5;DST;TPM3;CFLAR;QKI;SYTL2;GIP;SLC7A6;RABEP1;NPC1;YME1L1;WDFY3;CYP2E1;SERINC2;MET;CD44;EIF4G2;PAFAH1B1;PICALM
ChEA_2016,HNF4A 19822575 ChIP-Seq HepG2 Human,117/6083,0.0008699245955652872,0.0685065619007663,0,0,1.4717992119276997,10.371922145710595,FAM49A;CLDN1;BZW1;CRKL;BEST1;SAMD14;PSMD4;CDH2;TNFRSF8;TGM4;AGFG2;TNS1;IL13RA1;NUP214;MAGI1;DDX18;ARL15;SLC34A1;WDR74;SULT2B1;EML4;ILF3;PRKAR1A;RUFY2;COL4A3;COL4A6;YME1L1;WDFY3;ANAPC5;CYP2E1;TMEM87A;POM121;COPA;SDC2;PSEN1;PKMYT1;LTBP1;CACNA1G;RRP7A;SOCS2;UBR5;PACSIN2;MYH11;NADK;TRAPPC3;CADM1;HSPA5;NONO;ERLIN1;SYNJ2;LARP4;QKI;POLA1;SULT1B1;SERINC2;FGFR2;PICALM;ALK;RBM28;DIDO1;CLIC4;WDR1;FASTKD2;FHL2;GRIK1;PTPRJ;GM2A;IDH3B;TNPO2;SREBF1;KLF12;DST;SSTR1;GIP;SLC7A6;RABEP1;NPC1;INCENP;NOS1AP;PDE5A;CLDN16;FXN;MET;MATN3;CD44;PAFAH1B1;VAC14;ZNF230;LTK;TOMM40;MVK;POLDIP3;GOSR2;HMGCR;EGFR;JAKMIP2;HSPD1;GGA3;ADAM23;CDC37L1;MPZL1;SVIL;SORT1;STAT1;CSNK1A1;GALNT2;LAMB4;PTPN11;CFLAR;PTPN12;USH2A;AGT;SKI;GALC;AGBL2;TLL2;APBA1
ChEA_2016,DCP1A 22483619 ChIP-Seq HELA Human,22/759,0.0025663142349485,0.1796419964464001,0,0,2.036185976591861,12.146428765981074,NOTCH2;DIDO1;VAC14;FASTKD2;FUS;API5;POLDIP3;GOSR2;SRRT;ERLIN1;SLC3A2;ENO1;MED17;RRP7A;ILF3;GGA3;PDCD11;CDK1;TCEB2;EIF4G2;MPHOSPH6;PICALM
ChEA_2016,EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse,31/1239,0.0036687308812695,0.2311300455199794,0,0,1.7641128535906845,9.892985205390186,RBM28;VAC14;DCTN5;POM121;COPA;TOMM40;WDR1;POLDIP3;PITPNA;ISG20L2;ENO1;BZW1;LMAN1;PDCD11;IDH3B;RPP14;UTP14A;TRAPPC3;TIPIN;GALNT2;TEX10;WDR74;HUWE1;PTPN11;RPS28;ILF3;RAD51;PRKAR1A;TSR1;SNRPA1;CD44
