Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ChEA_2016,HNF4A 19822575 ChIP-Seq HepG2 Human,148/6083,4.020896473997702e-12,2.557290157462538e-09,0,0,2.2582583248348334,59.25560597659851,NCKAP1;SCARB1;GMFB;ZFYVE9;CSE1L;ZFAND6;ZBTB20;F11R;TMEM140;COMT;YY1;GOLGA5;SCP2;SESN1;BBX;ANKS1A;PDE8B;TNS3;PTRF;ANKRD46;HUS1;ANXA11;ATG12;PIAS1;INPP4A;ALDH3A2;DYNC1LI2;MXRA7;PPIG;KIF20B;IL6ST;SKAP2;RTN3;SDC3;PIK3R1;AAAS;STK3;KCNV2;PDZD2;NTHL1;GRK4;RREB1;ZC3H14;TRPM3;KLHDC10;HEXIM1;SMAD2;SMAD3;HSPA4;ST8SIA3;PHKB;MRPL24;LSM4;MED13L;EXT1;SETX;EXT2;WNK1;GNAQ;NMT2;DYNLRB1;CPEB3;SERINC3;FERMT2;ZCCHC2;BMPR1A;DENND1B;CNTNAP2;RNF14;QPRT;FAM69A;VLDLR;WASL;ITGAE;PPP1R9A;EEA1;NIPBL;AKAP10;LASP1;CHL1;SPIN1;ME1;PHACTR2;TLK1;CD36;UBXN4;TEAD1;SPTAN1;CEP290;AASS;HTATIP2;HIST1H1C;NCOA2;NCOA3;AKTIP;DENND2A;CACYBP;VEZF1;PEX1;AES;SLC25A16;TGFBR3;PTP4A2;ZEB1;TST;TMEM33;ACOX1;RASA1;EHHADH;PLSCR4;SYNC;CUEDC1;RHOQ;PCYOX1;DDR2;CSTB;NFAT5;TUFT1;WRB;PRIM1;PON2;ZBTB48;TOB2;TOB1;EHBP1;NSL1;TRAK2;AURKA;LEPROTL1;CTNNA1;FAM63A;FYN;PAK2;ATF7IP;SPEN;NQO1;KCNB1;BAD;TPD52L2;KTN1;ALDH4A1;TJP1;NELL2;RAB14;SCD;SCLY;PTPN4;TRIM33
ChEA_2016,NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse,28/588,7.996666718830383e-08,2.542940016588061e-05,0,0,3.5183823529411766,57.49619390966223,NCKAP1;CSE1L;UBE3A;PIK3R1;WASL;MTDH;YY1;SESN1;NBN;SMAD2;NCOA2;USP8;SMAD3;BAD;WWP1;MINA;AES;TJP1;TGFBR3;GNAQ;MAFG;RASA1;TCF4;DYNLRB1;IL6ST;RHOQ;VAMP3;ALDH9A1
ChEA_2016,CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat,67/2393,2.676711139836158e-07,4.770701307501258e-05,0,0,2.147874927577414,32.50487981489841,KDM5A;POP4;CSE1L;ZFAND6;ZBTB20;YY1;NIPBL;SLC39A6;BBX;NEK1;UBXN4;TEAD1;FBXO9;NCOA2;USP8;AKTIP;ATRX;H2AFV;ATG12;SLC25A16;RAP2A;TMEM33;PPIG;STAMBP;CD46;RHOQ;VAMP3;SIDT2;LEPROT;PRIM1;VPS4B;CSTF2T;AAAS;TOB2;CLCN3;TOB1;PAPSS2;TRAK2;AURKA;NTHL1;TPR;SCAI;KLHDC10;HEXIM1;MOAP1;RRM1;BAD;USP22;NR1D2;PARVA;MRPL24;TPD52L2;MED13L;KTN1;EXT1;RAB14;NOVA1;SSPN;NDUFAF3;PIN1;TCF4;ESYT1;DYNLRB1;PTPN4;FERMT2;ZCCHC2;MON1B
ChEA_2016,PPARG 20887899 ChIP-Seq 3T3-L1 Mouse,89/3565,3.000441073900162e-07,4.770701307501258e-05,0,0,1.9687280144416144,29.568988227542075,KDM5A;CLIC5;DENND1B;SCARB1;CNTNAP2;YWHAB;POP4;ZFAND6;CELF2;FAM69A;ZBTB20;WASL;ITGAE;F11R;TMEM140;PPP1R9A;EEA1;UCHL1;NIPBL;LASP1;CCDC91;SCP2;BBX;TLK1;CD36;NBN;TNPO1;TNS3;PTRF;USP8;LYPLA1;NCOA3;DENND2A;EBF2;PEX1;WIPI2;MYRIP;TGFBR3;PTP4A2;TMBIM4;ACOX1;EHHADH;STAMBP;DDR2;ALDH9A1;RTN3;NFAT5;SP140;WRB;PRIM1;PON2;VPS4B;NPR3;CSTF2T;PIK3R1;TOB1;MTDH;MYL12B;CST3;COMMD9;PDZD2;GRK4;TPR;RREB1;TRPM3;KLHDC10;HEXIM1;SMAD2;ATF7IP;NQO1;RRM1;CAV1;NEK7;PARVA;PHKB;TPD52L2;MED13L;NOVA1;GNAQ;PSMC2;SSPN;YIPF6;TCF4;TLL1;NDUFAF1;ESYT1;DYNLRB1;SERINC3;ZCCHC2
ChEA_2016,CHD1 26751641 Chip-Seq LNCaP Human,56/2000,3.247297311631219e-06,0.0004130562180394911,0,0,2.096269311205559,26.491996479266152,NCKAP1;ZFYVE9;KIAA1033;CHD4;F11R;PPP1R9A;SCP2;SESN1;ARL6IP5;ZNF124;RAB2A;USP8;ANXA11;CACYBP;ATP11B;PEX1;ATG12;SLC25A16;TGFBR3;TMBIM4;PPIG;CUEDC1;PCYOX1;SIDT2;ALDH9A1;RTN3;LEPROT;NPR3;ZBTB48;KCNA4;CSTF2T;AAAS;CLCN3;TROVE2;TOB1;NSL1;COMMD9;DNAJB4;RNF130;HSPA4;USP22;NEK7;TPD52L2;MED13L;SCD;CAPZA1;GNAQ;NMT2;RAB9A;PKN2;ESYT1;FERMT2;ZCCHC2;TRIM33;SLC25A36;BMPR1A
ChEA_2016,WT1 25993318 ChIP-Seq PODOCYTE Human,81/3464,1.6572672018724424e-05,0.0017567032339847,0,0,1.783935795010508,19.637129029053057,NCKAP1;CLIC5;DENND1B;SCARB1;CELF2;QPRT;WBP1L;ZBTB20;CHD4;WASL;F11R;PPP1R9A;PCSK5;SCP2;SCRN1;SESN1;BBX;PHACTR2;ARHGEF40;TNS3;TEAD1;PTRF;NCOA2;NCOA3;DENND2A;EBF2;HUS1;ANXA11;AES;PIAS1;INPP4A;TGFBR3;PTP4A2;ZEB1;KAT6B;FEZ2;TRIM16;SKAP2;NFAT5;LEPROT;TUFT1;CCDC69;NPR3;PIK3R1;UQCR10;ATP2C1;TOB1;MYL12B;STK3;LRP6;RMND5B;PDZD2;DNAJB4;CTNNA1;FYN;RREB1;TRPM3;KLHDC10;HEXIM1;SMAD2;SPEN;NTRK2;GSTM1;SMAD3;AMMECR1;WWP1;PARVA;PHKB;NPM3;LSM4;MED13L;EXT1;TJP1;MSRA;GNAQ;SSPN;PIN1;TCF4;CDK13;CPEB3;FERMT2
ChEA_2016,KDM5B 21448134 ChIP-Seq MESCs Mouse,85/3724,2.365751464041051e-05,0.0021494541873287,0,0,1.7449018066552913,18.586396974463373,KDM5A;NCKAP1;CNTNAP2;CSE1L;UBE3A;CHD4;WASL;ITGAE;YY1;SCPEP1;NIPBL;AKAP10;CHL1;PPAT;MLX;NEK1;TLK1;UBXN4;TNPO1;TNS3;TEAD1;PTRF;FBXO9;RAB2A;USP8;NCOA3;AKTIP;ATRX;EBF2;HUS1;H2AFV;ATP11B;VEZF1;ATG12;ALDH3A2;DYNC1LI2;PPIG;KIF20B;IL6ST;CUEDC1;NFAT5;PARG;PRIM1;VPS4B;TTK;UQCR10;EHBP1;MTDH;AURKA;TPR;CTNNA1;RNF130;PAK2;ZC3H14;MEST;BPTF;SMAD2;ATF7IP;NQO1;RRM1;HSPA4;USP22;NAGA;PARVA;TPD52L2;KTN1;SETX;TJP1;MSRA;RAB14;WNK1;CAPZA1;CDC16;PSMC2;PIN1;PKN2;TLL1;DYNLRB1;CPEB3;FBXL5;GRSF1;FERMT2;TRIM33;SLC25A36;MON1B
ChEA_2016,ZFX 18555785 ChIP-Seq MESCs Mouse,76/3249,3.31254186373282e-05,0.0026334707816675,0,0,1.7672155688622757,18.229199064163016,NCKAP1;YWHAB;RNF14;CSE1L;ZFAND6;QPRT;UBE3A;WASL;COMT;EEA1;NIPBL;GOLGA5;BBX;PHACTR2;TLK1;TNS3;TEAD1;FBXO9;HIST1H1C;USP8;LYPLA1;ANKRD46;AKTIP;DENND2A;ATRX;GTPBP8;CACYBP;ATP11B;AES;PIAS1;ALDH3A2;DYNC1LI2;TST;TMEM33;ACOX1;EHHADH;FKBP9;TCTA;CUEDC1;VAMP3;SIDT2;CSTB;WRB;VPS4B;TOB2;TOB1;MTDH;STK3;BAG5;DNAJB4;TPR;RGS20;PAK2;ZC3H14;BPTF;KCNB1;HSPA4;USP22;NEK7;WWP1;LSM4;SMAD5;TPD52L2;SETX;TJP1;EXT2;RAB14;GNAQ;SSPN;PKN2;DYNLRB1;SERINC3;GRSF1;PTPN4;TRIM33;SLC25A36
ChEA_2016,DMRT1 23473982 ChIP-Seq TESTES Mouse,54/2072,3.826209702712075e-05,0.0026573061501503,0,0,1.9233967463559671,19.56296598793877,NCKAP1;YWHAB;ZBTB20;CHD4;ITGAE;F11R;SLC4A4;YY1;SESN1;SPIN1;ME1;TLK1;ARHGEF40;TNS3;TEAD1;H2AFV;ATP11B;AES;PIAS1;INPP4A;TGFBR3;PTP4A2;MXRA7;STAMBP;CUEDC1;PARG;VPS4B;SDC3;PIK3R1;TOB2;SLC5A3;TOB1;EHBP1;MTDH;LRP6;LEPROTL1;DNAJB4;FYN;RREB1;TRPM3;BPTF;SPEN;NTRK2;HSPA4;NEK7;PHKB;NPM3;EXT1;SSPN;NMT2;TCF4;PTPN4;ZCCHC2;MON1B
ChEA_2016,RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human,107/5071,4.178154324135765e-05,0.0026573061501503,0,0,1.6457895813588406,16.59458829119701,SCARB1;ZFYVE9;CSE1L;ZBTB20;F11R;YY1;CCDC91;GOLGA5;PPAT;ZNF329;SLC39A6;TNS3;ANKRD46;GTPBP8;DYNC1LI2;KLRF1;MXRA7;PPIG;TCTA;IL6ST;SDC3;PIK3R1;MYL12B;COMMD9;PDZD2;GRK4;ZNF148;RREB1;ZC3H14;SCAI;KLHDC10;HEXIM1;SMAD2;MOAP1;SMAD3;NEK7;MRPL24;LSM4;MED13L;SETX;MSRA;WNK1;GNAQ;CDC16;TCF4;FBXL5;ZCCHC2;DENND1B;CNTNAP2;YWHAB;KIAA1033;CHD4;WASL;PPP1R9A;EEA1;SCPEP1;LASP1;SCRN1;SPIN1;MLX;ME1;PHACTR2;UBXN4;HRAS;NCOA2;LYPLA1;NCOA3;AKTIP;DENND2A;H2AFV;VEZF1;DYNLL1;PTP4A2;TMBIM4;RASA1;CUEDC1;ALDH9A1;NFAT5;LEPROT;PRIM1;CSTF2T;TOB2;CLCN3;EHBP1;NSL1;TRAK2;CST3;RMND5B;LEPROTL1;CTNNA1;FYN;RNF130;PAK2;ATF7IP;NTRK2;RRM1;BAD;USP22;NPM3;TPD52L2;ERP44;GLB1L;RAB14;SCD;PKN2;ESYT1;PTPN4
