0,P2,P2 w/ testosterone,P5,P5 w/ testosterone,P11,P12,P12 w/ testosterone
ENSG00000223972.5,0,0,0,0,0,0,0
ENSG00000227232.5,26,41,18,40,32,42,58
ENSG00000278267.1,1,22,2,17,8,7,6
ENSG00000243485.5,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0
ENSG00000238009.6,0,1,0,1,1,5,5
ENSG00000239945.1,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0
ENSG00000268903.1,15,9,4,19,14,27,33
ENSG00000269981.1,16,11,5,16,22,30,40
ENSG00000239906.1,0,0,0,0,1,3,2
ENSG00000241860.7,1,4,2,24,0,20,12
ENSG00000222623.1,0,0,0,0,0,0,2
ENSG00000241599.1,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0,0
ENSG00000279457.4,122,124,67,159,107,85,93
ENSG00000273874.1,0,0,0,2,0,0,0
ENSG00000228463.10,16,29,16,41,0,2,4
ENSG00000286448.1,1,0,0,0,0,0,2
ENSG00000236679.2,0,0,0,0,0,1,0
ENSG00000236601.2,0,0,0,0,0,0,0
ENSG00000237094.12,14,24,6,25,58,75,84
ENSG00000269732.1,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,1,1,0
ENSG00000278757.1,0,1,0,1,0,0,0
ENSG00000230021.10,2,13,5,10,4,5,9
ENSG00000235146.2,0,0,0,0,0,0,0
ENSG00000225972.1,43,30,18,37,34,35,29
ENSG00000225630.1,808,743,436,800,925,676,719
ENSG00000237973.1,603,566,351,728,755,1416,1446
ENSG00000278791.1,0,0,0,0,0,0,0
ENSG00000229344.1,27,32,13,27,1563,56,48
