0,C25,C25 w/ testosterone,C24,C24 w/ testosterone,C31,C31 w/ testosterone,C32
ENSG00000223972.5,0,0,0,0,0,0,0
ENSG00000227232.5,42,52,39,75,44,65,53
ENSG00000278267.1,4,3,6,16,10,8,13
ENSG00000243485.5,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0
ENSG00000240361.2,0,0,0,0,0,0,0
ENSG00000186092.6,0,0,0,0,0,0,0
ENSG00000238009.6,8,11,14,9,3,4,0
ENSG00000239945.1,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0
ENSG00000268903.1,27,30,21,5,41,30,38
ENSG00000269981.1,24,26,20,8,39,24,42
ENSG00000239906.1,1,0,0,0,0,0,0
ENSG00000241860.7,0,5,4,0,1,0,8
ENSG00000222623.1,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0,0
ENSG00000279457.4,76,84,105,154,71,88,91
ENSG00000273874.1,0,0,0,0,0,0,0
ENSG00000228463.10,3,1,3,0,1,0,1
ENSG00000286448.1,0,0,0,0,0,0,0
ENSG00000236679.2,0,0,0,0,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0
ENSG00000237094.12,37,37,55,33,15,7,17
ENSG00000269732.1,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,0
ENSG00000230021.10,11,11,12,6,5,3,4
ENSG00000235146.2,0,0,0,0,0,0,0
ENSG00000225972.1,15,21,16,5,33,47,40
ENSG00000225630.1,309,366,263,143,730,692,629
ENSG00000237973.1,643,764,535,198,752,757,867
ENSG00000278791.1,0,0,0,0,0,0,0
ENSG00000229344.1,28,30,28,5,38,42,20
ENSG00000240409.1,1,0,0,0,1,0,1
ENSG00000248527.1,7561,8937,6742,2420,9147,10379,6346
ENSG00000198744.5,49,70,43,19,32,39,24
ENSG00000268663.1,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0
ENSG00000228327.3,74,113,78,47,35,28,99
ENSG00000223181.1,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0
ENSG00000237491.10,54,55,68,38,54,29,68
ENSG00000285268.1,0,0,0,0,0,0,0
ENSG00000230092.7,14,14,12,6,5,4,10
ENSG00000177757.2,0,0,1,0,0,1,0
ENSG00000228794.10,309,410,618,518,389,254,404
ENSG00000225880.5,21,23,15,13,15,9,13
ENSG00000288531.1,0,0,1,2,0,0,1
ENSG00000230368.2,0,0,0,0,0,1,0
ENSG00000234711.1,0,0,1,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0
ENSG00000272438.1,0,1,0,0,0,0,0
ENSG00000230699.2,7,7,0,1,0,1,2
ENSG00000241180.1,0,0,0,0,0,0,0
ENSG00000223764.2,77,95,28,24,5,4,8
ENSG00000187634.12,490,566,105,181,34,41,65
ENSG00000188976.11,2321,2833,1420,2810,1098,1093,1614
ENSG00000187961.14,240,252,138,242,200,157,236
ENSG00000187583.11,35,64,0,0,3,2,3
ENSG00000187642.9,0,0,0,0,0,0,0
ENSG00000272512.1,1,3,2,0,0,1,1
ENSG00000188290.11,88,97,50,74,13,25,37
ENSG00000187608.10,760,1015,698,1088,777,824,435
ENSG00000231702.2,0,0,0,0,0,0,0
ENSG00000224969.1,1,3,0,0,0,0,0
ENSG00000188157.15,5881,7114,3704,5296,3269,2138,4178
ENSG00000242590.1,0,0,0,0,0,0,0
ENSG00000217801.10,13,14,10,9,12,9,22
ENSG00000273443.1,0,0,0,0,0,0,1
ENSG00000237330.3,0,0,0,0,0,0,0
ENSG00000131591.17,165,195,178,236,159,217,202
ENSG00000285812.1,0,0,0,0,0,0,0
ENSG00000223823.1,0,0,0,1,0,0,0
ENSG00000207730.3,0,0,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,0,0
ENSG00000198976.1,0,0,0,0,0,0,0
ENSG00000272141.1,0,0,0,1,0,0,0
ENSG00000205231.1,0,0,0,0,0,0,0
ENSG00000162571.14,0,0,0,0,0,1,0
ENSG00000186891.14,14,18,17,69,39,52,35
ENSG00000186827.11,2,3,3,3,4,9,0
ENSG00000078808.18,5346,6933,8373,12934,7469,7740,7186
ENSG00000176022.7,1051,1362,1203,2267,816,916,932
ENSG00000184163.3,29,31,28,38,50,49,23
ENSG00000260179.1,1,5,3,7,2,9,3
ENSG00000160087.21,1336,1738,1465,1988,1023,1170,1166
ENSG00000230415.1,15,17,15,19,9,12,13
ENSG00000162572.21,48,61,86,140,77,72,89
ENSG00000131584.19,1166,1327,1771,3622,1647,1389,1929
ENSG00000278073.1,0,0,0,0,0,0,0
ENSG00000169972.12,403,514,541,939,417,467,390
ENSG00000127054.21,1521,1846,1509,2341,1382,1413,1797
ENSG00000283712.1,0,0,0,0,0,0,0
ENSG00000240731.1,27,32,45,32,18,16,30
ENSG00000224051.7,666,760,1046,1627,922,910,927
ENSG00000169962.5,5,8,391,516,252,240,235
ENSG00000107404.20,1977,2406,2510,3512,1752,1578,1923
ENSG00000284372.1,0,0,0,0,0,0,0
ENSG00000162576.17,2224,3012,5439,6121,4633,5176,3005
ENSG00000175756.13,1612,2197,1298,3162,1330,1524,1574
ENSG00000223663.2,1,0,0,0,0,0,0
ENSG00000221978.12,2842,3207,2398,2372,3128,2927,2841
ENSG00000224870.7,359,481,394,587,288,305,335
ENSG00000242485.6,1505,1977,1240,1682,1045,1305,1295
ENSG00000264293.2,0,0,0,0,0,0,0
ENSG00000272455.1,53,40,42,56,64,69,76
ENSG00000235098.8,1,6,8,1,11,8,7
ENSG00000225905.1,0,0,0,0,0,0,1
ENSG00000205116.3,1,0,0,0,0,0,0
ENSG00000225285.1,10,7,0,0,0,0,0
ENSG00000179403.12,165,281,67,82,72,63,466
ENSG00000215915.10,5,4,0,5,6,6,7
ENSG00000160072.20,855,1069,424,969,472,436,605
ENSG00000284740.1,2,7,0,4,3,7,6
ENSG00000197785.14,1553,2147,759,1884,777,850,1115
ENSG00000205090.9,37,41,135,228,34,43,74
ENSG00000160075.12,2716,3424,3408,5756,2335,2960,3184
ENSG00000215014.5,26,24,14,9,9,13,10
ENSG00000274481.1,0,0,0,0,0,0,0
ENSG00000228594.4,235,337,506,807,223,282,218
ENSG00000286989.1,8,15,6,6,1,4,1
ENSG00000272106.1,100,126,148,207,142,165,176
ENSG00000197530.12,1225,1576,1395,3430,1167,1236,1388
ENSG00000189409.14,38,63,50,150,103,153,58
ENSG00000248333.8,1000,1327,1203,2000,637,560,877
ENSG00000272004.1,3,7,3,4,1,0,3
ENSG00000189339.12,2202,2885,3994,2968,2344,1892,2353
ENSG00000269737.2,2,0,2,2,0,0,0
ENSG00000215914.4,0,4,4,5,2,9,5
ENSG00000008128.23,14,15,13,51,14,19,26
ENSG00000268575.1,43,50,85,74,11,7,25
ENSG00000227775.3,3,4,1,1,0,0,0
ENSG00000215790.7,184,228,349,395,277,293,237
ENSG00000008130.15,1407,1777,2106,2845,1192,932,1501
ENSG00000078369.18,13088,16560,9319,8775,7535,7325,8282
ENSG00000231050.1,7,8,7,3,10,6,9
ENSG00000169885.10,10,21,4,6,4,4,10
ENSG00000178821.13,4,11,1,2,1,2,5
ENSG00000142609.18,0,0,0,0,0,0,0
ENSG00000233542.2,0,0,0,0,0,0,0
ENSG00000187730.9,0,0,0,0,0,0,0
ENSG00000226969.1,0,0,1,0,0,0,0
ENSG00000067606.17,27,47,6,6,5,4,19
ENSG00000271806.1,0,0,0,0,1,0,0
ENSG00000182873.5,13,19,53,68,22,32,24
ENSG00000162585.17,805,1053,1073,2188,944,1057,1021
ENSG00000234396.3,0,2,0,0,0,0,1
ENSG00000157933.10,3588,4691,6413,8467,2626,2285,5156
ENSG00000287356.1,31,30,84,109,22,26,33
ENSG00000116151.14,136,187,157,176,103,88,119
ENSG00000272161.1,0,0,0,1,2,0,2
ENSG00000269896.2,31,25,52,54,38,34,34
ENSG00000272420.1,5,4,1,0,8,7,4
ENSG00000157916.20,4351,5503,3683,4639,3659,3794,3962
ENSG00000157911.11,906,1141,1075,1428,680,820,797
ENSG00000149527.18,35,40,4,4,4,3,5
ENSG00000224387.1,0,0,0,4,2,0,0
ENSG00000229393.1,0,0,1,1,1,2,2
ENSG00000157881.16,441,580,577,674,468,399,570
ENSG00000197921.6,0,0,0,1,0,0,0
ENSG00000272449.2,3,0,0,0,0,0,0
ENSG00000238164.6,0,0,0,2,0,0,0
ENSG00000157873.17,8,13,5,9,33,45,6
ENSG00000225931.3,0,0,0,0,0,0,0
ENSG00000228037.1,0,0,0,0,0,0,0
ENSG00000157870.17,771,967,284,475,299,321,451
ENSG00000142606.16,0,4,0,2,5,1,0
ENSG00000237058.1,0,0,0,0,0,0,0
ENSG00000215912.12,3,10,14,21,31,15,15
ENSG00000285945.1,0,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0,2
ENSG00000233234.1,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0
ENSG00000177133.11,2,3,1,11,0,0,1
ENSG00000142611.17,13,13,40,52,0,0,10
ENSG00000283572.1,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0
ENSG00000272235.1,11,11,3,3,0,1,5
ENSG00000287828.1,23,26,5,6,2,2,24
ENSG00000286518.1,0,0,0,1,0,0,0
ENSG00000130762.15,0,5,0,0,0,1,2
ENSG00000272088.1,0,0,0,0,0,0,0
ENSG00000162591.16,40,32,34,71,54,40,101
ENSG00000207776.1,0,0,0,0,0,0,0
ENSG00000238260.1,1,0,8,11,1,4,7
ENSG00000158109.15,1606,2005,2759,3059,1660,1802,2335
ENSG00000116213.16,355,466,367,367,360,341,402
ENSG00000078900.15,0,0,7,3,3,2,3
ENSG00000227589.1,0,0,0,0,0,0,0
ENSG00000235131.1,0,0,0,0,0,0,0
ENSG00000227372.12,599,793,1060,1180,666,624,842
ENSG00000276189.1,0,0,0,0,0,0,0
ENSG00000162592.10,0,0,0,0,0,0,0
ENSG00000235169.10,18,28,64,143,74,95,101
ENSG00000130764.10,1512,1908,1711,2220,1346,1354,1616
ENSG00000266075.2,2,1,3,2,1,1,8
ENSG00000272153.1,1,4,5,14,11,14,6
ENSG00000116198.14,1188,1523,863,835,600,460,731
ENSG00000169598.17,190,249,139,137,114,116,196
ENSG00000198912.11,675,782,740,744,618,764,929
ENSG00000236423.6,13,9,14,16,19,25,3
ENSG00000233304.7,0,0,0,0,0,0,1
ENSG00000226374.3,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,0,0,0,0
ENSG00000284703.1,0,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0
ENSG00000196581.11,1,0,0,0,0,0,0
ENSG00000287586.1,0,0,0,0,0,0,0
ENSG00000284739.1,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,1
ENSG00000264341.1,0,0,0,0,0,0,0
ENSG00000264101.1,0,1,1,0,0,0,0
ENSG00000131697.18,368,376,276,305,224,153,320
ENSG00000069424.15,252,301,279,341,336,286,268
ENSG00000116254.18,14,10,5,6,1,1,1
ENSG00000285629.1,0,0,0,0,0,0,0
ENSG00000116251.11,2055,2692,5231,4521,2991,3392,3342
ENSG00000226944.1,4,4,2,0,4,4,3
ENSG00000158286.13,158,143,31,31,40,42,39
ENSG00000116237.16,3321,4191,5503,4463,2945,2886,3266
ENSG00000225077.3,2,4,0,1,2,3,0
ENSG00000173673.8,0,0,0,0,0,0,0
ENSG00000158292.7,604,929,4341,4999,1215,1194,3206
ENSG00000097021.19,1060,1323,530,807,387,413,543
ENSG00000271746.1,3,2,0,8,5,2,3
ENSG00000069812.11,43,73,17,20,14,12,39
ENSG00000187017.17,5,10,29,39,17,9,6
ENSG00000265392.1,0,0,0,0,0,0,0
ENSG00000231868.1,0,0,0,0,0,0,0
ENSG00000215788.11,165,199,145,202,119,154,132
ENSG00000171680.23,770,890,506,653,368,292,384
ENSG00000162408.11,792,993,787,762,466,558,635
