0,C25,C24,C31,C32
ENSG00000223972.5,0,0,0,0
ENSG00000227232.5,42,39,44,53
ENSG00000278267.1,4,6,10,13
ENSG00000243485.5,0,0,0,0
ENSG00000284332.1,0,0,0,0
ENSG00000237613.2,0,0,0,0
ENSG00000268020.3,0,0,0,0
ENSG00000240361.2,0,0,0,0
ENSG00000186092.6,0,0,0,0
ENSG00000238009.6,8,14,3,0
ENSG00000239945.1,0,0,0,0
ENSG00000233750.3,0,0,0,0
ENSG00000268903.1,27,21,41,38
ENSG00000269981.1,24,20,39,42
ENSG00000239906.1,1,0,0,0
ENSG00000241860.7,0,4,1,8
ENSG00000222623.1,0,0,0,0
ENSG00000241599.1,0,0,0,0
ENSG00000279928.2,0,0,0,0
ENSG00000279457.4,76,105,71,91
ENSG00000273874.1,0,0,0,0
ENSG00000228463.10,3,3,1,1
ENSG00000286448.1,0,0,0,0
ENSG00000236679.2,0,0,0,0
ENSG00000236601.2,0,0,0,0
ENSG00000237094.12,37,55,15,17
ENSG00000269732.1,0,0,0,0
ENSG00000284733.1,0,0,0,0
ENSG00000233653.3,0,0,0,0
ENSG00000250575.1,0,0,0,0
ENSG00000278757.1,0,0,0,0
ENSG00000230021.10,11,12,5,4
ENSG00000235146.2,0,0,0,0
ENSG00000225972.1,15,16,33,40
ENSG00000225630.1,309,263,730,629
ENSG00000237973.1,643,535,752,867
ENSG00000278791.1,0,0,0,0
ENSG00000229344.1,28,28,38,20
ENSG00000240409.1,1,0,1,1
ENSG00000248527.1,7561,6742,9147,6346
ENSG00000198744.5,49,43,32,24
ENSG00000268663.1,0,0,0,0
ENSG00000284662.1,0,0,0,0
ENSG00000229376.3,0,0,0,0
ENSG00000228327.3,74,78,35,99
ENSG00000223181.1,0,0,0,0
ENSG00000229905.1,0,0,0,0
ENSG00000237491.10,54,68,54,68
ENSG00000285268.1,0,0,0,0
ENSG00000230092.7,14,12,5,10
ENSG00000177757.2,0,1,0,0
ENSG00000228794.10,309,618,389,404
ENSG00000225880.5,21,15,15,13
ENSG00000288531.1,0,1,0,1
ENSG00000230368.2,0,0,0,0
ENSG00000234711.1,0,1,0,0
ENSG00000283040.1,0,0,0,0
ENSG00000272438.1,0,0,0,0
ENSG00000230699.2,7,0,0,2
ENSG00000241180.1,0,0,0,0
ENSG00000223764.2,77,28,5,8
ENSG00000187634.12,490,105,34,65
ENSG00000188976.11,2321,1420,1098,1614
ENSG00000187961.14,240,138,200,236
ENSG00000187583.11,35,0,3,3
ENSG00000187642.9,0,0,0,0
ENSG00000272512.1,1,2,0,1
ENSG00000188290.11,88,50,13,37
ENSG00000187608.10,760,698,777,435
ENSG00000231702.2,0,0,0,0
ENSG00000224969.1,1,0,0,0
ENSG00000188157.15,5881,3704,3269,4178
ENSG00000242590.1,0,0,0,0
ENSG00000217801.10,13,10,12,22
ENSG00000273443.1,0,0,0,1
ENSG00000237330.3,0,0,0,0
ENSG00000131591.17,165,178,159,202
ENSG00000285812.1,0,0,0,0
